Scenario,Allocation,Client,Value,AverageRelativeImbalance
"All, Noise",shapley,A,0.6204672585762944,0.5174465244964764
"All, Noise",shapley,F,0.4431031048275401,0.5174465244964764
"All, Noise",shapley,G,0.6123100222032196,0.5174465244964764
"All, Noise",shapley,H,0.12356092020404746,0.5174465244964764
"All, Noise",shapley,I,0.3202841007028497,0.5174465244964764
"All, Noise",shapley,J,0.06817073174848041,0.5174465244964764
"All, Noise",shapley,K,0.1539626199983259,0.5174465244964764
"All, Noise",shapley,L,0.12899706586649437,0.5174465244964764
"All, Noise",shapley,N,0.10827952858230185,0.5174465244964764
"All, Noise",shapley,O,0.11578889434755323,0.5174465244964764
"All, Noise",shapley,Q,0.21434384223153316,0.5174465244964764
"All, Noise",shapley,S,0.23250182112369472,0.5174465244964764
"All, Noise",shapley,T,0.13319952526282902,0.5174465244964764
"All, Noise",shapley,U,0.16305795089724937,0.5174465244964764
"All, Noise",shapley,V,0.11511320420783261,0.5174465244964764
"All, Noise",shapley,W,0.04920438989828457,0.5174465244964764
"All, Noise",shapley,Y,0.08948255268922028,0.5174465244964764
"All, Noise",VCG,A,0.3962412762829667,0.5174465244964764
"All, Noise",VCG,F,0.23057512114112153,0.5174465244964764
"All, Noise",VCG,G,0.3764963323835713,0.5174465244964764
"All, Noise",VCG,H,0.015288914612816059,0.5174465244964764
"All, Noise",VCG,I,0.18436019769733344,0.5174465244964764
"All, Noise",VCG,J,0.008069031143877454,0.5174465244964764
"All, Noise",VCG,K,0.02195043467705829,0.5174465244964764
"All, Noise",VCG,L,-0.039101703039805126,0.5174465244964764
"All, Noise",VCG,N,0.034737998826848186,0.5174465244964764
"All, Noise",VCG,O,0.03768761491521152,0.5174465244964764
"All, Noise",VCG,Q,0.012022962002231382,0.5174465244964764
"All, Noise",VCG,S,0.06761910251182389,0.5174465244964764
"All, Noise",VCG,T,0.07378472251211753,0.5174465244964764
"All, Noise",VCG,U,0.07078964009450942,0.5174465244964764
"All, Noise",VCG,V,0.06327849683926227,0.5174465244964764
"All, Noise",VCG,W,-0.0010262602031166073,0.5174465244964764
"All, Noise",VCG,Y,-0.013017526432946132,0.5174465244964764
"All, Noise",VCG_budget_balanced,A,0.6176152425779072,0.5174465244964764
"All, Noise",VCG_budget_balanced,F,0.43676943281628117,0.5174465244964764
"All, Noise",VCG_budget_balanced,G,0.6014620282738139,0.5174465244964764
"All, Noise",VCG_budget_balanced,H,0.168051114607966,0.5174465244964764
"All, Noise",VCG_budget_balanced,I,0.34931273097887683,0.5174465244964764
"All, Noise",VCG_budget_balanced,J,0.15332477403029296,0.5174465244964764
"All, Noise",VCG_budget_balanced,K,0.20788169071580034,0.5174465244964764
"All, Noise",VCG_budget_balanced,L,0.13903138853971903,0.5174465244964764
"All, Noise",VCG_budget_balanced,N,0.20719927851576192,0.5174465244964764
"All, Noise",VCG_budget_balanced,O,0.19762424652636426,0.5174465244964764
"All, Noise",VCG_budget_balanced,Q,0.20917460103203683,0.5174465244964764
"All, Noise",VCG_budget_balanced,S,0.249172597614146,0.5174465244964764
"All, Noise",VCG_budget_balanced,T,0.22984367087466318,0.5174465244964764
"All, Noise",VCG_budget_balanced,U,0.22966557825141998,0.5174465244964764
"All, Noise",VCG_budget_balanced,V,0.21797062330584435,0.5174465244964764
"All, Noise",VCG_budget_balanced,W,0.15600200992654709,0.5174465244964764
"All, Noise",VCG_budget_balanced,Y,0.14577741943297706,0.5174465244964764
"All, Noise",gately_full,A,0.5842995409535306,0.5174465244964764
"All, Noise",gately_full,F,0.4627244476457383,0.5174465244964764
"All, Noise",gately_full,G,0.5695805757739965,0.5174465244964764
"All, Noise",gately_full,H,0.3039707933735385,0.5174465244964764
"All, Noise",gately_full,I,0.42306574514336565,0.5174465244964764
"All, Noise",gately_full,J,0.2998699242192566,0.5174465244964764
"All, Noise",gately_full,K,0.3136673394343065,0.5174465244964764
"All, Noise",gately_full,L,0.2718656272750108,0.5174465244964764
"All, Noise",gately_full,N,0.31665367150661144,0.5174465244964764
"All, Noise",gately_full,O,0.3200578240768194,0.5174465244964764
"All, Noise",gately_full,Q,0.302439899484733,0.5174465244964764
"All, Noise",gately_full,S,0.33709315657248745,0.5174465244964764
"All, Noise",gately_full,T,0.34252665952701555,0.5174465244964764
"All, Noise",gately_full,U,0.34508469703480726,0.5174465244964764
"All, Noise",gately_full,V,0.33811871310068536,0.5174465244964764
"All, Noise",gately_full,W,0.28811751505799815,0.5174465244964764
"All, Noise",gately_full,Y,0.28179615976802086,0.5174465244964764
"All, Noise",gately_hourly,A,0.6206588219257378,0.5174465244964764
"All, Noise",gately_hourly,F,0.4362390457797418,0.5174465244964764
"All, Noise",gately_hourly,G,0.6050390143973748,0.5174465244964764
"All, Noise",gately_hourly,H,0.15762427835216467,0.5174465244964764
"All, Noise",gately_hourly,I,0.3416097166311888,0.5174465244964764
"All, Noise",gately_hourly,J,0.1427242687976286,0.5174465244964764
"All, Noise",gately_hourly,K,0.19135765273742977,0.5174465244964764
"All, Noise",gately_hourly,L,0.1295736597043145,0.5174465244964764
"All, Noise",gately_hourly,N,0.18679244481087284,0.5174465244964764
"All, Noise",gately_hourly,O,0.18102235721064597,0.5174465244964764
"All, Noise",gately_hourly,Q,0.1959327518526203,0.5174465244964764
"All, Noise",gately_hourly,S,0.2369392485358123,0.5174465244964764
"All, Noise",gately_hourly,T,0.21267574056814806,0.5174465244964764
"All, Noise",gately_hourly,U,0.21544046126944683,0.5174465244964764
"All, Noise",gately_hourly,V,0.2018998213838196,0.5174465244964764
"All, Noise",gately_hourly,W,0.13948973053482308,0.5174465244964764
"All, Noise",gately_hourly,Y,0.13411855664784214,0.5174465244964764
"All, Noise",full_cost,A,0.6781575331919938,0.5174465244964764
"All, Noise",full_cost,F,0.3935290466322152,0.5174465244964764
"All, Noise",full_cost,G,0.633059486419346,0.5174465244964764
"All, Noise",full_cost,H,0.03128261923926784,0.5174465244964764
"All, Noise",full_cost,I,0.24425600182296978,0.5174465244964764
"All, Noise",full_cost,J,0.02133210715047412,0.5174465244964764
"All, Noise",full_cost,K,0.037573077614960364,0.5174465244964764
"All, Noise",full_cost,L,-0.00635019673496215,0.5174465244964764
"All, Noise",full_cost,N,0.03492240693298488,0.5174465244964764
"All, Noise",full_cost,O,0.05644225940197192,0.5174465244964764
"All, Noise",full_cost,Q,0.07010642474396021,0.5174465244964764
"All, Noise",full_cost,S,0.10325740016308492,0.5174465244964764
"All, Noise",full_cost,T,0.0751555903612443,0.5174465244964764
"All, Noise",full_cost,U,0.07867267455315083,0.5174465244964764
"All, Noise",full_cost,V,0.06327849683933068,0.5174465244964764
"All, Noise",full_cost,W,-0.0007137241648707968,0.5174465244964764
"All, Noise",full_cost,Y,0.007232311434308936,0.5174465244964764
"All, Scenario",shapley,A,0.9511552454073554,0.8454065802011349
"All, Scenario",shapley,F,0.5774743922228615,0.8454065802011349
"All, Scenario",shapley,G,0.9507780729308463,0.8454065802011349
"All, Scenario",shapley,H,0.4627070450319555,0.8454065802011349
"All, Scenario",shapley,I,0.6350592894243902,0.8454065802011349
"All, Scenario",shapley,J,0.36849800118803194,0.8454065802011349
"All, Scenario",shapley,K,0.5819732446756867,0.8454065802011349
"All, Scenario",shapley,L,0.4161947001592607,0.8454065802011349
"All, Scenario",shapley,N,0.41308976174717543,0.8454065802011349
"All, Scenario",shapley,O,0.4322263979410893,0.8454065802011349
"All, Scenario",shapley,Q,0.47751614129896586,0.8454065802011349
"All, Scenario",shapley,S,0.35682819232845353,0.8454065802011349
"All, Scenario",shapley,T,0.5815495779750524,0.8454065802011349
"All, Scenario",shapley,U,0.4346873282806383,0.8454065802011349
"All, Scenario",shapley,V,0.3696415957465556,0.8454065802011349
"All, Scenario",shapley,W,0.5433567126186676,0.8454065802011349
"All, Scenario",shapley,Y,0.5890558054541607,0.8454065802011349
"All, Scenario",VCG,A,0.9729180980345461,0.8454065802011349
"All, Scenario",VCG,F,0.4220245716822382,0.8454065802011349
"All, Scenario",VCG,G,0.973172818756533,0.8454065802011349
"All, Scenario",VCG,H,0.35577431418494626,0.8454065802011349
"All, Scenario",VCG,I,0.5487328395210416,0.8454065802011349
"All, Scenario",VCG,J,0.2579205528613763,0.8454065802011349
"All, Scenario",VCG,K,0.5285573982768794,0.8454065802011349
"All, Scenario",VCG,L,0.2847934246334418,0.8454065802011349
"All, Scenario",VCG,N,0.34260277506159237,0.8454065802011349
"All, Scenario",VCG,O,0.3364048286384133,0.8454065802011349
"All, Scenario",VCG,Q,0.3403716947951925,0.8454065802011349
"All, Scenario",VCG,S,0.1879211286843729,0.8454065802011349
"All, Scenario",VCG,T,0.5376173060384256,0.8454065802011349
"All, Scenario",VCG,U,0.32814873431214586,0.8454065802011349
"All, Scenario",VCG,V,0.2727382822341647,0.8454065802011349
"All, Scenario",VCG,W,0.44448070242573706,0.8454065802011349
"All, Scenario",VCG,Y,0.5053543057051091,0.8454065802011349
"All, Scenario",VCG_budget_balanced,A,0.9790228535730836,0.8454065802011349
"All, Scenario",VCG_budget_balanced,F,0.47134174550622737,0.8454065802011349
"All, Scenario",VCG_budget_balanced,G,0.9789466014638106,0.8454065802011349
"All, Scenario",VCG_budget_balanced,H,0.3954860629214402,0.8454065802011349
"All, Scenario",VCG_budget_balanced,I,0.5879823446394896,0.8454065802011349
"All, Scenario",VCG_budget_balanced,J,0.2892166905995411,0.8454065802011349
"All, Scenario",VCG_budget_balanced,K,0.566923548159419,0.8454065802011349
"All, Scenario",VCG_budget_balanced,L,0.31264947750176475,0.8454065802011349
"All, Scenario",VCG_budget_balanced,N,0.3890313573597723,0.8454065802011349
"All, Scenario",VCG_budget_balanced,O,0.3714315341288457,0.8454065802011349
"All, Scenario",VCG_budget_balanced,Q,0.3792736577292679,0.8454065802011349
"All, Scenario",VCG_budget_balanced,S,0.22989917438667468,0.8454065802011349
"All, Scenario",VCG_budget_balanced,T,0.5683663476123582,0.8454065802011349
"All, Scenario",VCG_budget_balanced,U,0.3661184160144069,0.8454065802011349
"All, Scenario",VCG_budget_balanced,V,0.3082440074380712,0.8454065802011349
"All, Scenario",VCG_budget_balanced,W,0.4760683236050095,0.8454065802011349
"All, Scenario",VCG_budget_balanced,Y,0.5427941543185074,0.8454065802011349
"All, Scenario",gately_full,A,0.976388577608048,0.8454065802011349
"All, Scenario",gately_full,F,0.4758993942526814,0.8454065802011349
"All, Scenario",gately_full,G,0.9769259647798381,0.8454065802011349
"All, Scenario",gately_full,H,0.40884001276007426,0.8454065802011349
"All, Scenario",gately_full,I,0.5886973174887116,0.8454065802011349
"All, Scenario",gately_full,J,0.30659878775139726,0.8454065802011349
"All, Scenario",gately_full,K,0.5766702127211834,0.8454065802011349
"All, Scenario",gately_full,L,0.3310623245851593,0.8454065802011349
"All, Scenario",gately_full,N,0.3958165792849343,0.8454065802011349
"All, Scenario",gately_full,O,0.3928607561058827,0.8454065802011349
"All, Scenario",gately_full,Q,0.3869244694175746,0.8454065802011349
"All, Scenario",gately_full,S,0.23556796996923227,0.8454065802011349
"All, Scenario",gately_full,T,0.5776253088195987,0.8454065802011349
"All, Scenario",gately_full,U,0.38719519463498375,0.8454065802011349
"All, Scenario",gately_full,V,0.3324123358465551,0.8454065802011349
"All, Scenario",gately_full,W,0.4914271155495751,0.8454065802011349
"All, Scenario",gately_full,Y,0.5496658205996299,0.8454065802011349
"All, Scenario",gately_hourly,A,0.9800895665443603,0.8454065802011349
"All, Scenario",gately_hourly,F,0.4685518550968124,0.8454065802011349
"All, Scenario",gately_hourly,G,0.9799195679600592,0.8454065802011349
"All, Scenario",gately_hourly,H,0.3908216641447244,0.8454065802011349
"All, Scenario",gately_hourly,I,0.5854696683285862,0.8454065802011349
"All, Scenario",gately_hourly,J,0.28578318556219034,0.8454065802011349
"All, Scenario",gately_hourly,K,0.5630614258097173,0.8454065802011349
"All, Scenario",gately_hourly,L,0.31101681115201585,0.8454065802011349
"All, Scenario",gately_hourly,N,0.38176375689081077,0.8454065802011349
"All, Scenario",gately_hourly,O,0.3685545715056801,0.8454065802011349
"All, Scenario",gately_hourly,Q,0.37603191763200805,0.8454065802011349
"All, Scenario",gately_hourly,S,0.22699948726894645,0.8454065802011349
"All, Scenario",gately_hourly,T,0.5671235794776094,0.8454065802011349
"All, Scenario",gately_hourly,U,0.36190384234260514,0.8454065802011349
"All, Scenario",gately_hourly,V,0.3039728432083849,0.8454065802011349
"All, Scenario",gately_hourly,W,0.4712524100492683,0.8454065802011349
"All, Scenario",gately_hourly,Y,0.5376597978250317,0.8454065802011349
"All, Scenario",full_cost,A,0.9876662122242666,0.8454065802011349
"All, Scenario",full_cost,F,0.4556585746798334,0.8454065802011349
"All, Scenario",full_cost,G,0.9854629863695408,0.8454065802011349
"All, Scenario",full_cost,H,0.35757271297302257,0.8454065802011349
"All, Scenario",full_cost,I,0.563584735343185,0.8454065802011349
"All, Scenario",full_cost,J,0.2586167660184264,0.8454065802011349
"All, Scenario",full_cost,K,0.5369264380325719,0.8454065802011349
"All, Scenario",full_cost,L,0.29637518097289184,0.8454065802011349
"All, Scenario",full_cost,N,0.3426027750615465,0.8454065802011349
"All, Scenario",full_cost,O,0.3416936491898882,0.8454065802011349
"All, Scenario",full_cost,Q,0.34847371626453516,0.8454065802011349
"All, Scenario",full_cost,S,0.2094911263689197,0.8454065802011349
"All, Scenario",full_cost,T,0.5466316595413315,0.8454065802011349
"All, Scenario",full_cost,U,0.3313883208449225,0.8454065802011349
"All, Scenario",full_cost,V,0.27273828223412905,0.8454065802011349
"All, Scenario",full_cost,W,0.444480702425675,0.8454065802011349
"All, Scenario",full_cost,Y,0.5068908952184177,0.8454065802011349
"Nucleolus, Noise",shapley,A,0.5998935653050267,0.5046418083572265
"Nucleolus, Noise",shapley,F,0.462055695830374,0.5046418083572265
"Nucleolus, Noise",shapley,G,0.5739751949505036,0.5046418083572265
"Nucleolus, Noise",shapley,H,0.16203779259096077,0.5046418083572265
"Nucleolus, Noise",shapley,I,0.2947567944040104,0.5046418083572265
"Nucleolus, Noise",shapley,K,0.1960193740762378,0.5046418083572265
"Nucleolus, Noise",shapley,L,0.13444838823477032,0.5046418083572265
"Nucleolus, Noise",shapley,Q,0.15457720546037496,0.5046418083572265
"Nucleolus, Noise",shapley,S,0.2212220861236391,0.5046418083572265
"Nucleolus, Noise",shapley,U,0.11166231163903824,0.5046418083572265
"Nucleolus, Noise",VCG,A,0.33326068579270707,0.5046418083572265
"Nucleolus, Noise",VCG,F,0.24337671609813674,0.5046418083572265
"Nucleolus, Noise",VCG,G,0.27974064105016283,0.5046418083572265
"Nucleolus, Noise",VCG,H,-0.0020324344443954563,0.5046418083572265
"Nucleolus, Noise",VCG,I,0.11413329044609448,0.5046418083572265
"Nucleolus, Noise",VCG,K,0.0671003698162258,0.5046418083572265
"Nucleolus, Noise",VCG,L,-0.0443505106461412,0.5046418083572265
"Nucleolus, Noise",VCG,Q,-0.11391634742678976,0.5046418083572265
"Nucleolus, Noise",VCG,S,0.05263383525357486,0.5046418083572265
"Nucleolus, Noise",VCG,U,-0.04094470575842626,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,A,0.5932612203673214,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,F,0.46219597772175997,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,G,0.5642247239874728,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,H,0.2068462768814602,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,I,0.33960177028549476,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,K,0.26867145998811076,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,L,0.15280289101539918,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,Q,0.14346992734175634,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,S,0.25455002207420335,0.5046418083572265
"Nucleolus, Noise",VCG_budget_balanced,U,0.1699941616217221,0.5046418083572265
"Nucleolus, Noise",gately_full,A,0.5657421047581507,0.5046418083572265
"Nucleolus, Noise",gately_full,F,0.49700102912784383,0.5046418083572265
"Nucleolus, Noise",gately_full,G,0.5296285662526474,0.5046418083572265
"Nucleolus, Noise",gately_full,H,0.32340601174323813,0.5046418083572265
"Nucleolus, Noise",gately_full,I,0.40335455824852084,0.5046418083572265
"Nucleolus, Noise",gately_full,K,0.36080364046752866,0.5046418083572265
"Nucleolus, Noise",gately_full,L,0.2912731223254202,0.5046418083572265
"Nucleolus, Noise",gately_full,Q,0.25077371173123647,0.5046418083572265
"Nucleolus, Noise",gately_full,S,0.36006050068788065,0.5046418083572265
"Nucleolus, Noise",gately_full,U,0.3042515416943221,0.5046418083572265
"Nucleolus, Noise",gately_hourly,A,0.5985748867373101,0.5046418083572265
"Nucleolus, Noise",gately_hourly,F,0.46368446873612434,0.5046418083572265
"Nucleolus, Noise",gately_hourly,G,0.5639245347151614,0.5046418083572265
"Nucleolus, Noise",gately_hourly,H,0.19406464678838856,0.5046418083572265
"Nucleolus, Noise",gately_hourly,I,0.33118518741584974,0.5046418083572265
"Nucleolus, Noise",gately_hourly,K,0.25790823111760824,0.5046418083572265
"Nucleolus, Noise",gately_hourly,L,0.1454591383574082,0.5046418083572265
"Nucleolus, Noise",gately_hourly,Q,0.12620013313317496,0.5046418083572265
"Nucleolus, Noise",gately_hourly,S,0.24538397922271044,0.5046418083572265
"Nucleolus, Noise",gately_hourly,U,0.15743464489022693,0.5046418083572265
"Nucleolus, Noise",full_cost,A,0.628717943658889,0.5046418083572265
"Nucleolus, Noise",full_cost,F,0.395268212652499,0.5046418083572265
"Nucleolus, Noise",full_cost,G,0.6392391771741359,0.5046418083572265
"Nucleolus, Noise",full_cost,H,0.02368647918618114,0.5046418083572265
"Nucleolus, Noise",full_cost,I,0.18740076093785618,0.5046418083572265
"Nucleolus, Noise",full_cost,K,0.09898576413418678,0.5046418083572265
"Nucleolus, Noise",full_cost,L,-0.010215518202018572,0.5046418083572265
"Nucleolus, Noise",full_cost,Q,-0.06844845868446885,0.5046418083572265
"Nucleolus, Noise",full_cost,S,0.10148710143560628,0.5046418083572265
"Nucleolus, Noise",full_cost,U,-0.011333314251249664,0.5046418083572265
"Nucleolus, Noise",nucleolus,A,0.5832541955816994,0.5046418083572265
"Nucleolus, Noise",nucleolus,F,0.47349245226167336,0.5046418083572265
"Nucleolus, Noise",nucleolus,G,0.5339748563468265,0.5046418083572265
"Nucleolus, Noise",nucleolus,H,0.34104852801755775,0.5046418083572265
"Nucleolus, Noise",nucleolus,I,0.36004360783712447,0.5046418083572265
"Nucleolus, Noise",nucleolus,K,0.39471642841184723,0.5046418083572265
"Nucleolus, Noise",nucleolus,L,0.317025180792788,0.5046418083572265
"Nucleolus, Noise",nucleolus,Q,0.18099348198618845,0.5046418083572265
"Nucleolus, Noise",nucleolus,S,0.30754686490989586,0.5046418083572265
"Nucleolus, Noise",nucleolus,U,0.37983202683097417,0.5046418083572265
"Nucleolus, Scenario",shapley,A,0.9542496283411043,0.8525871795028881
"Nucleolus, Scenario",shapley,F,0.5749461595268478,0.8525871795028881
"Nucleolus, Scenario",shapley,G,0.9535422802263718,0.8525871795028881
"Nucleolus, Scenario",shapley,H,0.4554921834490918,0.8525871795028881
"Nucleolus, Scenario",shapley,I,0.6281067238708654,0.8525871795028881
"Nucleolus, Scenario",shapley,K,0.5758579738394771,0.8525871795028881
"Nucleolus, Scenario",shapley,L,0.41823084241440867,0.8525871795028881
"Nucleolus, Scenario",shapley,Q,0.4724253091559121,0.8525871795028881
"Nucleolus, Scenario",shapley,S,0.3533316615321342,0.8525871795028881
"Nucleolus, Scenario",shapley,U,0.40234886170561185,0.8525871795028881
"Nucleolus, Scenario",VCG,A,0.9758705222485999,0.8525871795028881
"Nucleolus, Scenario",VCG,F,0.4168956236448409,0.8525871795028881
"Nucleolus, Scenario",VCG,G,0.9750404856391874,0.8525871795028881
"Nucleolus, Scenario",VCG,H,0.3514892959792904,0.8525871795028881
"Nucleolus, Scenario",VCG,I,0.5458748535235887,0.8525871795028881
"Nucleolus, Scenario",VCG,K,0.523313702319149,0.8525871795028881
"Nucleolus, Scenario",VCG,L,0.28923429517055904,0.8525871795028881
"Nucleolus, Scenario",VCG,Q,0.338379334517647,0.8525871795028881
"Nucleolus, Scenario",VCG,S,0.19193603161406858,0.8525871795028881
"Nucleolus, Scenario",VCG,U,0.2940523549568798,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,A,0.9814762656310234,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,F,0.4660350751360213,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,G,0.9804912334536003,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,H,0.3883207787325753,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,I,0.5819027791171835,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,K,0.5584589835593696,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,L,0.31517415357468165,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,Q,0.3769916949790251,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,S,0.2319911025078593,0.8525871795028881
"Nucleolus, Scenario",VCG_budget_balanced,U,0.33193335842570326,0.8525871795028881
"Nucleolus, Scenario",gately_full,A,0.9787832636333246,0.8525871795028881
"Nucleolus, Scenario",gately_full,F,0.46969683441386617,0.8525871795028881
"Nucleolus, Scenario",gately_full,G,0.9784432842847917,0.8525871795028881
"Nucleolus, Scenario",gately_full,H,0.4017684295879803,0.8525871795028881
"Nucleolus, Scenario",gately_full,I,0.5854785730000719,0.8525871795028881
"Nucleolus, Scenario",gately_full,K,0.5714398680638003,0.8525871795028881
"Nucleolus, Scenario",gately_full,L,0.33391504430995594,0.8525871795028881
"Nucleolus, Scenario",gately_full,Q,0.3885782083365452,0.8525871795028881
"Nucleolus, Scenario",gately_full,S,0.2400614490724143,0.8525871795028881
"Nucleolus, Scenario",gately_full,U,0.35530926147633723,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,A,0.982369013971287,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,F,0.46344115131081554,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,G,0.9812423431083174,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,H,0.3833983323825106,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,I,0.5805605693532851,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,K,0.5553673365010832,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,L,0.3123994804055572,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,Q,0.37426162137758573,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,S,0.22958672858269746,0.8525871795028881
"Nucleolus, Scenario",gately_hourly,U,0.32649607017355337,0.8525871795028881
"Nucleolus, Scenario",full_cost,A,0.9885727362938155,0.8525871795028881
"Nucleolus, Scenario",full_cost,F,0.4532605487401875,0.8525871795028881
"Nucleolus, Scenario",full_cost,G,0.9853683675441565,0.8525871795028881
"Nucleolus, Scenario",full_cost,H,0.3525436482693058,0.8525871795028881
"Nucleolus, Scenario",full_cost,I,0.5654060708183152,0.8525871795028881
"Nucleolus, Scenario",full_cost,K,0.5348049522870295,0.8525871795028881
"Nucleolus, Scenario",full_cost,L,0.29022534411879264,0.8525871795028881
"Nucleolus, Scenario",full_cost,Q,0.3474895650427641,0.8525871795028881
"Nucleolus, Scenario",full_cost,S,0.21149172359267004,0.8525871795028881
"Nucleolus, Scenario",full_cost,U,0.2940523549568815,0.8525871795028881
"Nucleolus, Scenario",nucleolus,A,0.9842239072000601,0.8525871795028881
"Nucleolus, Scenario",nucleolus,F,0.4590654598428534,0.8525871795028881
"Nucleolus, Scenario",nucleolus,G,0.9825616218094193,0.8525871795028881
